Month,month_name,2019,2020,2021,2022,2023
Month of birth, January,"30165","30186","27692","28557","28015"
Month of birth, February,"27473","27899","27358","26246","25714"
Month of birth, March,"30689","30588","31633","28785","29004"
Month of birth, April,"30441","30119","30311","28473","28138"
Month of birth, May,"32214","31320","32180","30371","29890"
Month of birth, June,"31596","30406","32410","30108","29847"
Month of birth, July,"33965","32435","33610","31322","31138"
Month of birth, August,"33454","31434","32917","31706","30892"
Month of birth, September,"32446","31065","32753","30472","30549"
Month of birth, October,"31667","30097","31231","29671","30759"
Month of birth, November,"29558","27777","29430","28428","29159"
Month of birth, December,"29310","27475","28630","27540","28773"
